Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
6,Charizard,Gigantamax,NULL,28,0,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NULL,NULL,87.5,12.5,70,Sword / Shield,Galar,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Monster,Dragon,20,NULL,NULL
7,Squirtle,NULL,NULL,0.5,9,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain. ,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,44,48,65,50,0,43,250,0,0,1,0,0,0,1,45,Medium Slow,1059860,63,Monster,Water 1,20,NULL,NULL
8,Wartortle,NULL,NULL,1,22.5,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain. ,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,59,63,80,65,0,58,325,0,0,1,0,1,0,2,45,Medium Slow,1059860,142,Monster,Water 1,20,10,Level 16
9,Blastoise,NULL,NULL,1.6,85.5,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain. ,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,79,83,100,85,0,78,425,0,0,0,0,3,0,3,45,Medium Slow,1059860,239,Monster,Water 1,20,11,Level 32
9,Blastoise,Mega,NULL,1.6,101.1,Water,NULL,Mega Launcher,Powers up aura and pulse moves. ,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,X / Y,Kalos,79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,Medium Slow,1059860,284,Monster,Water 1,20,NULL,NULL
9,Blastoise,Gigantamax,NULL,25,0,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain. ,NULL,NULL,87.5,12.5,70,Sword / Shield,Galar,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,239,Monster,Water 1,20,NULL,NULL
10,Caterpie,NULL,NULL,0.3,2.9,Bug,NULL,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,45,30,35,20,0,45,175,1,0,0,0,0,0,1,255,Medium Fast,1000000,39,Bug,NULL,15,NULL,NULL
11,Metapod,NULL,NULL,0.7,9.9,Bug,NULL,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,50,20,55,25,0,30,180,0,0,2,0,0,0,2,120,Medium Fast,1000000,72,Bug,NULL,15,32,Level 7
12,Butterfree,NULL,NULL,1.1,32,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,NULL,NULL,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,178,Bug,NULL,15,23,Level 10
12,Butterfree,Gigantamax,NULL,17,0,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,NULL,NULL,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",NULL,NULL,50,50,70,Sword / Shield,Galar,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,178,Bug,NULL,15,NULL,NULL
13,Weedle,NULL,NULL,0.3,3.2,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,40,35,30,20,0,50,175,0,0,0,0,0,1,1,255,Medium Fast,1000000,39,Bug,NULL,15,NULL,NULL
14,Kakuna,NULL,NULL,0.6,10,Bug,Poison,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,45,25,50,25,0,35,180,0,0,2,0,0,0,2,120,Medium Fast,1000000,72,Bug,NULL,15,31,Level 7
15,Beedrill,NULL,NULL,1,29.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,Medium Fast,1000000,178,Bug,NULL,15,30,Level 10
15,Beedrill,Mega,NULL,1.4,40.5,Bug,Poison,Adaptability,Powers up moves of the same type as the Pokémon.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Omega Ruby / Alpha Sapphire,Kalos,65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,Medium Fast,1000000,223,Bug,NULL,15,NULL,NULL
16,Pidgey,NULL,NULL,0.3,1.8,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,40,45,40,35,0,56,216,0,0,0,0,0,1,1,255,Medium Slow,1059860,50,Flying,NULL,15,NULL,NULL
17,Pidgeotto,NULL,NULL,1.1,30,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,63,60,55,50,0,71,299,0,0,0,0,0,2,2,120,Medium Slow,1059860,122,Flying,NULL,15,76,Level 18
18,Pidgeot,NULL,NULL,1.5,39.5,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,Medium Slow,1059860,216,Flying,NULL,15,77,Level 36
18,Pidgeot,Mega,NULL,2.2,50.5,Normal,Flying,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Omega Ruby / Alpha Sapphire,Kalos,83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,Medium Slow,1059860,261,Flying,NULL,15,NULL,NULL
19,Rattata,NULL,NULL,0.3,3.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,30,56,35,25,0,72,218,0,0,0,0,0,1,1,255,Medium Fast,1000000,51,Field,NULL,15,NULL,NULL
19,Rattata,Alola,NULL,0.3,3.8,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",NULL,NULL,50,50,70,Sun / Moon,Alola,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,51,Field,NULL,15,NULL,NULL
20,Raticate,NULL,NULL,0.7,18.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,55,81,60,50,0,97,343,0,0,0,0,0,2,2,127,Medium Fast,1000000,145,Field,NULL,15,80,Level 20
20,Raticate,Alola,NULL,0.7,25.5,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",NULL,NULL,50,50,70,Sun / Moon,Alola,75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,145,Field,NULL,15,81,Level 20
21,Spearow,NULL,NULL,0.3,2,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,40,60,30,31,0,70,231,0,0,0,0,0,1,1,255,Medium Fast,1000000,52,Flying,NULL,15,NULL,NULL
22,Fearow,NULL,NULL,1.2,38,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,65,90,65,61,0,100,381,0,0,0,0,0,2,2,90,Medium Fast,1000000,155,Flying,NULL,15,84,Level 20
23,Ekans,NULL,NULL,2,6.9,Poison,NULL,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,35,60,44,40,0,55,234,0,1,0,0,0,0,1,255,Medium Fast,1000000,58,Field,Dragon,20,NULL,NULL
24,Arbok,NULL,NULL,3.5,65,Poison,NULL,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,Medium Fast,1000000,157,Field,Dragon,20,86,Level 22
25,Pikachu,NULL,NULL,0.4,6,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,35,55,40,50,0,90,270,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,Fairy,10,88,NULL
25,Pikachu,Gigantamax,NULL,21,0,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NULL,NULL,50,50,70,Sword / Shield,Galar,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,Fairy,10,NULL,NULL
25,Pikachu,Starter,NULL,0.4,6,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NULL,NULL,50,50,70,Let's Go Pikachu / Let's Go Eevee,Alola,45,80,50,75,60,120,430,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,Fairy,10,NULL,NULL
26,Raichu,NULL,NULL,0.8,30,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,218,Field,Fairy,10,89,Thunder Stone
26,Raichu,Alola,NULL,0.7,21,Electric,Psychic,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Sun / Moon,Alola,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,218,Field,Fairy,10,89,Thunder Stone In Alola
27,Sandshrew,NULL,NULL,0.6,12,Ground,NULL,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,NULL,NULL,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,50,75,85,30,0,40,280,0,0,1,0,0,0,1,255,Medium Fast,1000000,60,Field,NULL,20,NULL,NULL
27,Sandshrew,Alola,NULL,0.7,40,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,NULL,NULL,50,50,70,Sun / Moon,Alola,50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,60,Field,NULL,20,NULL,NULL
28,Sandslash,NULL,NULL,1,29.5,Ground,NULL,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,NULL,NULL,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,75,100,110,55,0,65,405,0,0,2,0,0,0,2,90,Medium Fast,1000000,158,Field,NULL,20,92,Level 22
28,Sandslash,Alola,NULL,1.2,55,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,NULL,NULL,50,50,70,Sun / Moon,Alola,75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,158,Field,NULL,20,93,Ice Stone
29,Nidoran (Female),NULL,NULL,0.4,7,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NULL,NULL,0,100,70,Red / Blue / Yellow,Kanto,55,47,52,40,0,41,235,1,0,0,0,0,0,1,235,Medium Slow,1059860,55,Monster,Field,20,NULL,NULL
30,Nidorina,NULL,NULL,0.8,20,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NULL,NULL,0,100,70,Red / Blue / Yellow,Kanto,70,62,67,55,0,56,310,2,0,0,0,0,0,2,120,Medium Slow,1059860,128,Undiscovered,NULL,20,33,Level 16
31,Nidoqueen,NULL,NULL,1.3,60,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,NULL,NULL,0,100,70,Red / Blue / Yellow,Kanto,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,Medium Slow,1059860,227,Undiscovered,NULL,20,17,Moon Stone
32,Nidoran (Male),NULL,NULL,0.5,9,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NULL,NULL,100,0,70,Red / Blue / Yellow,Kanto,46,57,40,40,0,50,233,0,1,0,0,0,0,1,235,Medium Slow,1059860,55,Monster,Field,20,NULL,NULL
33,Nidorino,NULL,NULL,0.9,19.5,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NULL,NULL,100,0,70,Red / Blue / Yellow,Kanto,61,72,57,55,0,65,310,0,2,0,0,0,0,2,120,Medium Slow,1059860,128,Monster,Field,20,48,Level 16
34,Nidoking,NULL,NULL,1.4,62,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,NULL,NULL,100,0,70,Red / Blue / Yellow,Kanto,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,227,Monster,Field,20,49,Moon Stone
35,Clefairy,NULL,NULL,0.6,7.5,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,NULL,NULL,25,75,140,Red / Blue / Yellow,Kanto,70,45,48,60,0,35,258,2,0,0,0,0,0,2,150,Fast,800000,113,Fairy,NULL,20,51,NULL
36,Clefable,NULL,NULL,1.3,40,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",NULL,NULL,25,75,140,Red / Blue / Yellow,Kanto,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,Fast,800000,217,Fairy,NULL,10,52,Moon Stone
37,Vulpix,NULL,NULL,0.6,9.9,Fire,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NULL,NULL,25,75,70,Red / Blue / Yellow,Kanto,38,41,40,65,0,65,249,0,0,0,0,0,1,1,190,Medium Fast,1000000,60,Field,NULL,20,NULL,NULL
37,Vulpix,Alola,NULL,0.6,9.9,Ice,NULL,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NULL,NULL,25,75,70,Sun / Moon,Alola,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,60,Field,NULL,20,NULL,NULL
38,Ninetales,NULL,NULL,1.1,19.9,Fire,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NULL,NULL,25,75,70,Red / Blue / Yellow,Kanto,73,76,75,100,0,100,424,0,0,0,0,1,1,2,75,Medium Fast,1000000,177,Field,NULL,20,54,Fire Stone
38,Ninetales,Alola,NULL,1.1,19.9,Ice,Fairy,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NULL,NULL,25,75,70,Sun / Moon,Alola,73,67,75,81,100,109,505,0,0,0,0,0,2,2,75,Medium Fast,1000000,177,Field,NULL,20,55,Ice Stone
39,Jigglypuff,NULL,NULL,0.5,5.5,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,NULL,NULL,25,75,70,Red / Blue / Yellow,Kanto,115,45,20,25,0,20,225,2,0,0,0,0,0,2,170,Fast,800000,95,Fairy,NULL,10,58,NULL
40,Wigglytuff,NULL,NULL,1,12,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NULL,NULL,25,75,70,Red / Blue / Yellow,Kanto,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,Fast,800000,196,Fairy,NULL,10,59,Moon Stone
41,Zubat,NULL,NULL,0.8,7.5,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,40,45,35,40,0,55,215,0,0,0,0,0,1,1,255,Medium Fast,1000000,49,Flying,NULL,15,NULL,NULL
42,Golbat,NULL,NULL,1.6,55,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,75,80,70,75,0,95,395,0,0,0,0,0,2,2,90,Medium Fast,1000000,159,Flying,NULL,15,61,Level 22
43,Oddish,NULL,NULL,0.5,5.4,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,45,50,55,75,0,30,255,0,0,0,1,0,0,1,255,Medium Slow,1059860,64,Grass,NULL,20,NULL,NULL
44,Gloom,NULL,NULL,0.8,8.6,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,60,65,70,85,0,40,320,0,0,0,2,0,0,2,120,Medium Slow,1059860,138,Grass,NULL,20,64,Level 21
45,Vileplume,NULL,NULL,1.2,18.6,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,Medium Slow,1059860,221,Grass,NULL,20,65,Leaf Stone
46,Paras,NULL,NULL,0.3,5.4,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,35,70,55,55,0,25,240,0,1,0,0,0,0,1,190,Medium Fast,1000000,57,Bug,Grass,20,NULL,NULL
